batsman          |season|strike_rate|
-----------------+------+-----------+
DA Warner        |  2017|   141.8142|
S Dhawan         |  2017|   127.3936|
MC Henriques     |  2017|   136.4532|
Yuvraj Singh     |  2017|   142.3729|
DJ Hooda         |  2017|   150.0000|
BCJ Cutting      |  2017|   196.1538|
CH Gayle         |  2017|   122.6994|
Mandeep Singh    |  2017|   106.2147|
TM Head          |  2017|   139.8148|
KM Jadhav        |  2017|   143.5484|
SR Watson        |  2017|    91.0256|
Sachin Baby      |  2017|   100.0000|
STR Binny        |  2017|   102.6316|
S Aravind        |  2017|    80.0000|
YS Chahal        |  2017|    50.0000|
TS Mills         |  2017|    72.7273|
A Choudhary      |  2017|   125.0000|
PA Patel         |  2017|   134.8123|
JC Buttler       |  2017|   152.5140|
RG Sharma        |  2017|   121.9780|
N Rana           |  2017|   126.1364|
AT Rayudu        |  2017|   116.6667|
KH Pandya        |  2017|   135.7542|
KA Pollard       |  2017|   141.5771|
HH Pandya        |  2017|   156.2500|
TG Southee       |  2017|   233.3333|
AM Rahane        |  2017|   118.2663|
MA Agarwal       |  2017|    96.2963|
SPD Smith        |  2017|   121.9638|
BA Stokes        |  2017|   142.9864|
MS Dhoni         |  2017|   116.0000|
JJ Roy           |  2017|   147.5000|
BB McCullum      |  2017|   145.4545|
SK Raina         |  2017|   143.9739|
AJ Finch         |  2017|   163.0435|
KD Karthik       |  2017|   139.3822|
G Gambhir        |  2017|   128.0206|
CA Lynn          |  2017|   180.9816|
MK Tiwary        |  2017|   137.2881|
DT Christian     |  2017|   161.2245|
HM Amla          |  2017|   145.8333|
M Vohra          |  2017|   144.0252|
WP Saha          |  2017|   125.1337|
AR Patel         |  2017|   140.1235|
GJ Maxwell       |  2017|   173.1844|
DA Miller        |  2017|   103.7500|
Vishnu Vinod     |  2017|    73.0769|
Iqbal Abdulla    |  2017|    71.4286|
P Negi           |  2017|   129.7297|
AP Tare          |  2017|    78.2609|
SW Billings      |  2017|   132.6923|
KK Nair          |  2017|   124.3363|
SV Samson        |  2017|   141.3919|
RR Pant          |  2017|   165.6109|
CH Morris        |  2017|   163.8298|
CR Brathwaite    |  2017|    80.0000|
PJ Cummins       |  2017|   145.2830|
A Mishra         |  2017|    94.2308|
S Nadeem         |  2017|    22.2222|
Z Khan           |  2017|    30.7692|
DR Smith         |  2017|   153.2051|
DS Kulkarni      |  2017|    50.0000|
P Kumar          |  2017|    88.8889|
Basil Thampi     |  2017|   100.0000|
RV Uthappa       |  2017|   165.1064|
MK Pandey        |  2017|   128.5714|
YK Pathan        |  2017|   124.3478|
SA Yadav         |  2017|   119.3182|
CR Woakes        |  2017|    97.8723|
SP Narine        |  2017|   172.3077|
Harbhajan Singh  |  2017|   100.0000|
AB de Villiers   |  2017|   132.5153|
CJ Anderson      |  2017|   115.4472|
F du Plessis     |  2017|   114.2857|
RA Tripathi      |  2017|   146.4419|
R Bhatia         |  2017|    94.1176|
DL Chahar        |  2017|   233.3333|
A Zampa          |  2017|    71.4286|
AB Dinda         |  2017|   100.0000|
Imran Tahir      |  2017|     0.0000|
NV Ojha          |  2017|   121.5385|
V Shankar        |  2017|   134.6667|
Rashid Khan      |  2017|   122.2222|
B Kumar          |  2017|   100.0000|
MP Stoinis       |  2017|    70.8333|
MM Sharma        |  2017|   102.0000|
VR Aaron         |  2017|    40.0000|
V Kohli          |  2017|   122.2222|
MJ McClenaghan   |  2017|   106.6667|
Ankit Sharma     |  2017|   166.6667|
