winner                     |toss_and_match_winner|
---------------------------+---------------------+
Mumbai Indians             |                   48|
Kolkata Knight Riders      |                   44|
Chennai Super Kings        |                   42|
Royal Challengers Bangalore|                   35|
Rajasthan Royals           |                   34|
Delhi Daredevils           |                   33|
Kings XI Punjab            |                   28|
Deccan Chargers            |                   19|
Sunrisers Hyderabad        |                   17|
Gujarat Lions              |                   10|
Rising Pune Supergiant     |                    5|
Kochi Tuskers Kerala       |                    4|
Pune Warriors              |                    3|
Rising Pune Supergiants    |                    3|
                           |                    0|
